"id","name","cost","converted_cost","type","text","stats","rarity"
2414145519,"Uzol Silverhammer","{G}",2,"Scholar - Writer","""I'm at my best under pressure."" Uzol Silverhammer\ndreams of creating a great work of art. He values\nhonesty. He feels that introspection and all forms\nof self-examination are the keys to a good life and\nworthy of respect. He is completely put off by the\nidea of friends. He doesn't particularly care\nbetween war and peace. He sees equal parts of\nharmony and discord as part of life. He values\nnature. He holds shrewd and crafty individuals in\nthe lowest esteem. A short sturdy creature fond of\nwork and industry.","3/4","uncommon"
229124495,"Udil Stouthammer","{3}{T}",6,"Woodworker - Wood cutter","He believes that honesty is a high ideal. He sees\ncompetition as reasonably important. He is greatly\ndisturbed by quiet and a peaceful existence. He sees\nguile and cunning as indirect and somewhat\nworthless. He finds the whole idea of introspection\ncompletely offensive and contrary to the ideals of a\nlife well-lived. He doesn't care about art one way\nor another. He doesn't think one way or the other\nabout leisure time. A short sturdy creature fond of\nwork and industry.","3/2","uncommon"
2575111862,"Led","{T}",3,"Broker - Flatterer","""I feel well."" Led has become obsessed with their\nown mortality. He has abandoned any attempt at self-\ncontrol and finds the whole concept deeply\noffensive. He finds leisure time wasteful. He is\nthoroughly disgusted by cooperation. He believes\nthat peace is always preferable to war. He believes\nthat artful speech and eloquent expression are of\nthe highest ideals. He believes that freedom and\nindependence are completely non-negotiable and would\nfight to defend them. He sees concealment of\nemotions as a betrayal and tries his best never to\nassociate with such secretive fools. A short sturdy\ncreature fond of work and industry.","","common"
3207366921,"Dobar of the Mithralforge","{T}{U}{U}{2}{B}",1,"Jeweler - Gem setter","He finds nature somewhat disturbing. He values\neloquence. He doesn't feel strongly about the law.\nHe strongly believes that a peaceful and ordered\nsociety without dissent is best. He thinks romance\nis very important in life. He sees no value in\nholding back complaints and concealing emotions. He\ndoes not care about fairness. He needs alcohol to\nget through the working day","4/7","uncommon"
1495706370,"Cilob Mithralforge","{4}{1}{1}{2}{G}",8,"Fishery Worker - Fisherdwarf","She thinks it is of the utmost importance to present\na bold face and never grouse, complain or even show\nemotion. She deeply dislikes competition. She\nbelieves that those that take leisure time are evil\nand finds the whole idea disgusting. She values\ntradition. She doesn't see the attainment of\nknowledge as important. She thinks working hard is\nan abject idiocy. She is somewhat disgusted by\nromance. She needs alcohol to get through the\nworking day","3/1","mythic"
3190741888,"Kumil-Kubuk","{W}{U}{2}{X}{1}",6,"Military - Wrestler","""I've been alright."" Kumil-Kubuk dreams of mastering\na skill. She values knowledge. She greatly prizes\nloyalty. She finds romance distasteful. She has a\ngreat deal of respect for the law. She is appalled\nby merrymaking, parties and other such worthless\nactivities. She finds sacrifice to be one of the\nhighest ideals. She doesn't respect a society that\nhas settled into harmony without debate and strife.\nA short sturdy creature fond of work and industry.","2/1","uncommon"
686139252,"Iteb of the Flametongue","{R}{2}",4,"Miner - Miner","She sees artful speech and eloquence as a wasteful\nform of deliberate deception and treats it as such.\nShe respects perseverance. She sees competition as\nreasonably important. She finds moderation and self-\ncontrol to be very important. She doesn't see the\nattainment of knowledge as important. She can't\nfathom why anyone would want to live in an orderly\nand harmonious society. She finds those that engage\nin trade and commerce to be fairly disgusting. A\nshort sturdy creature fond of work and industry.","","rare"
1489582970,"Sakzul Bloodyfist","{W}",1,"Administrator - Appraiser","""Our fortunes rise and fall together."" Sakzul\nBloodyfist dreams of becoming a legendary warrior.\nShe finds the acquisition and use of power abhorrent\nand would have all masters toppled. She hates\nfreedom and would crush the independent spirit\nwherever it is found. She finds the idea of family\nloathsome. She holds crafts[man]ship to be of the\nhighest ideals and celebrates talented artisans and\ntheir masterworks. She finds the idea of laws\nabhorrent. She doesn't care about nature one way or\nanother. She finds art offensive and would have it\ndestroyed whenever possible. A short sturdy creature\nfond of work and industry.","","rare"
2575365971,"Geshud-Bim","{R}{U}{2}",5,"Other Jobs - Knapper","He values independence. He doesn't find power\nparticularly praiseworthy. He is disgusted by\nmerrymakers. He abhors those that pursue the mastery\nof weapons and skill with fighting. He values\nloyalty. He doesn't feel strongly about the law. He\nsees introspection as important. He needs alcohol to\nget through the working day","2/4","rare"
3605923387,"Amost","{4}",3,"Stoneworker - Mason","He values independence. He sees life as unfair and\ndoesn't mind it that way. He treasures leisure time\nand thinks it is very important in life. He doesn't\ncare one way or the other about romance. He finds\nthe following of tradition foolish and limiting. He\ndoesn't care very much about decorum. He believes\nthat peace is always preferable to war. A short\nsturdy creature fond of work and industry.","6/1","uncommon"
1289917127,"Erith of the Hammerbone","{3}{2}{W}{G}{R}",8,"Performance - Poet","""Don't get on my bad side."" Erith of the Hammerbone\ndreams of crafting a masterwork someday. She deeply\nrespects skill at arms. She finds the idea of family\nloathsome. She considers crafts[man]ship to be\nrelatively worthless. She sees competition as\nwasteful and silly. She values tranquility and a\npeaceful day. She deeply respects those that work\nhard at their labors. She greatly prizes loyalty.\nShe needs alcohol to get through the working day","","rare"
1009116688,"Inod-Ilral","{3}{4}{4}",8,"Craftsdwarf - Wax worker","He is greatly disturbed by quiet and a peaceful\nexistence. He finds blind honesty foolish. He\nbelieves that hard work is one of the highest ideals\nand a key to the good life. He finds those that\ndevelop skill with weapons and fighting distasteful.\nHe sees power over others as something to strive\nfor. He holds shrewd and crafty individuals in the\nlowest esteem. He thinks that introspection is\nvalueless and those that waste time in self-\nexamination are deluded fools. A short sturdy\ncreature fond of work and industry.","4/5","mythic"
